signature_score,mean,std,median,sample_id,site,version
ECM_matrix_score,0.2114621906956397,1.1931928787571648,-0.3886580620378913,GSM8576303_BM2,BM,v2
Inflammatory_score,-0.002930047869301749,0.12781338460390906,-0.03470433638399879,GSM8576303_BM2,BM,v2
CXCL12_CXCR4_axis_score,0.32422168482616154,0.2990527221880396,0.35102794647216795,GSM8576303_BM2,BM,v2
Hypoxia_stress_score,0.10478085761899468,0.31499633345576394,0.11892184615135193,GSM8576303_BM2,BM,v2
AML_blast_like_score,1.092216301891007,0.6910773466091806,1.2207334570884705,GSM8576303_BM2,BM,v2
Primitive_like_AML_score,0.002778112049985013,0.15379795479849045,-0.03890501817067464,GSM8576303_BM2,BM,v2
Committed_like_AML_score,1.4903001348365466,0.9831517453405937,1.7304424222310382,GSM8576303_BM2,BM,v2
Immune_suppression_score,0.0013635222257367477,0.1087615801150946,-0.03018713215986888,GSM8576303_BM2,BM,v2
HSPC_primitive_score,0.015291759892402756,0.19246315337326972,-0.05662959315934855,GSM8576304_EM2,EM,v2
Myeloid_granulocytic_score,0.15229614881953352,0.30926649222519126,0.029171696709628103,GSM8576304_EM2,EM,v2
Monocyte_macrophage_score,0.15536129648792385,0.5026979208911757,-0.04325811862945557,GSM8576304_EM2,EM,v2
Erythroid_score,0.07397908067633394,0.394869867269426,-0.08919871520996094,GSM8576304_EM2,EM,v2
B_cell_score,0.0735162396888068,0.2861015712638626,-0.05804653167724609,GSM8576304_EM2,EM,v2
T_NK_score,0.0002767502697824621,0.21047348130099322,-0.06927990845076334,GSM8576304_EM2,EM,v2
MSC_stromal_score,0.0786431919693741,0.28593652604303316,-0.05549940745035807,GSM8576304_EM2,EM,v2
Endothelial_vascular_score,0.10318368046853074,0.3446616497778519,-0.04068535327911377,GSM8576304_EM2,EM,v2
Osteolineage_endosteal_score,0.7089671274578128,0.4339029443321016,0.7593788132391873,GSM8576304_EM2,EM,v2
Adipocytic_score,0.05910971915592931,0.4235387202724958,-0.10428084945678706,GSM8576304_EM2,EM,v2
ECM_matrix_score,1.4501972525398532,0.7161234052506268,1.4607236823257137,GSM8576304_EM2,EM,v2
Inflammatory_score,-0.015738295294120134,0.2200117598584951,-0.09426979827880859,GSM8576304_EM2,EM,v2
CXCL12_CXCR4_axis_score,0.0974985992223367,0.32617891875274735,-0.0584193754196167,GSM8576304_EM2,EM,v2
Hypoxia_stress_score,0.006114539578741725,0.2744005241457111,-0.08117439270019532,GSM8576304_EM2,EM,v2
AML_blast_like_score,0.02860127702835634,0.22995879366181637,-0.06664429346720378,GSM8576304_EM2,EM,v2
Primitive_like_AML_score,-0.012359119545164662,0.24724810780122122,-0.09953518756422174,GSM8576304_EM2,EM,v2
Committed_like_AML_score,-0.023549310800051657,0.22560610927058133,-0.09677436552852033,GSM8576304_EM2,EM,v2
Immune_suppression_score,-0.00011321019929964484,0.15615044562675737,-0.047890506859208426,GSM8576304_EM2,EM,v2
HSPC_primitive_score,0.04077405900341793,0.18424206730530227,0.05721218109130859,GSM8576305_EM1_v1,EM,v1
Myeloid_granulocytic_score,0.6968688435692012,0.35470327146167013,0.7305289419492086,GSM8576305_EM1_v1,EM,v1
Monocyte_macrophage_score,1.1801818242408697,0.45691239092161906,1.2249427676200866,GSM8576305_EM1_v1,EM,v1
Erythroid_score,-0.008087396000856829,0.17959476929344634,-0.051160645484924314,GSM8576305_EM1_v1,EM,v1
B_cell_score,0.17255940612099566,0.25257083822819787,0.23630738510867555,GSM8576305_EM1_v1,EM,v1
T_NK_score,-0.1323472797118992,0.18642962404359775,-0.20156158170392435,GSM8576305_EM1_v1,EM,v1
MSC_stromal_score,-0.05579062128002715,0.16059353010447813,-0.12624666505588922,GSM8576305_EM1_v1,EM,v1
Endothelial_vascular_score,0.008421186902045763,0.186377475289282,-0.0596198558807373,GSM8576305_EM1_v1,EM,v1
Osteolineage_endosteal_score,0.15992372470022184,0.31484867789125875,0.18246763149897258,GSM8576305_EM1_v1,EM,v1
Adipocytic_score,-0.028664765050516558,0.22130261950101365,-0.13116990283978824,GSM8576305_EM1_v1,EM,v1
ECM_matrix_score,0.40815613066726986,0.47372944252163135,0.403852696052491,GSM8576305_EM1_v1,EM,v1
Inflammatory_score,-5.516301769930281e-05,0.17211530209135914,-0.06640754699707031,GSM8576305_EM1_v1,EM,v1
CXCL12_CXCR4_axis_score,-0.044539683392062365,0.2788825324289417,-0.18002050468720585,GSM8576305_EM1_v1,EM,v1
Hypoxia_stress_score,-0.017612075283087152,0.25219703309553043,-0.12282450419353194,GSM8576305_EM1_v1,EM,v1
AML_blast_like_score,0.3666934528788917,0.25541360924434336,0.3825858807922434,GSM8576305_EM1_v1,EM,v1
Primitive_like_AML_score,0.06600614974455532,0.24341468210918185,0.09075612999257968,GSM8576305_EM1_v1,EM,v1
Committed_like_AML_score,0.19966628166761768,0.2247294796467781,0.2345489236513774,GSM8576305_EM1_v1,EM,v1
Immune_suppression_score,-0.0012336785126162303,0.08672247611110893,-0.012307159842983369,GSM8576305_EM1_v1,EM,v1
HSPC_primitive_score,-0.042817850534751324,0.1522860430932552,-0.070069621832118,GSM8576306_EM2_v1,EM,v1
Myeloid_granulocytic_score,-0.0015228441051672004,0.22852342874074735,-0.06837226189993173,GSM8576306_EM2_v1,EM,v1
Monocyte_macrophage_score,0.07720451997689137,0.35932840171788216,-0.05408167839050293,GSM8576306_EM2_v1,EM,v1
Erythroid_score,0.053861608545205504,0.3787452011245194,-0.06822232246398925,GSM8576306_EM2_v1,EM,v1
B_cell_score,0.08584557370172233,0.29474530896159995,-0.04468283335367838,GSM8576306_EM2_v1,EM,v1
T_NK_score,0.007814337718088215,0.17759219364045464,-0.027267155647277833,GSM8576306_EM2_v1,EM,v1
MSC_stromal_score,0.052023431297169756,0.2587509874694467,-0.04957372926948062,GSM8576306_EM2_v1,EM,v1
Endothelial_vascular_score,0.040464845302210804,0.33024361270993,-0.07273142337799073,GSM8576306_EM2_v1,EM,v1
Osteolineage_endosteal_score,0.8224350261383107,0.5190251937423822,0.8215055066337138,GSM8576306_EM2_v1,EM,v1
Adipocytic_score,0.0035430173703358404,0.28167992454233615,-0.07321761523600805,GSM8576306_EM2_v1,EM,v1
ECM_matrix_score,1.5791246383734259,0.6783700613718022,1.5710586874825612,GSM8576306_EM2_v1,EM,v1
Inflammatory_score,-0.03693437632163528,0.1808185292217341,-0.06771504720052084,GSM8576306_EM2_v1,EM,v1
CXCL12_CXCR4_axis_score,0.008156856997202953,0.2978030214685895,-0.08204080972326808,GSM8576306_EM2_v1,EM,v1
Hypoxia_stress_score,-0.0490103184818169,0.22130557830843742,-0.08955418536940732,GSM8576306_EM2_v1,EM,v1
AML_blast_like_score,-0.03415972375932291,0.16113112620350473,-0.06757288796561105,GSM8576306_EM2_v1,EM,v1
Primitive_like_AML_score,-0.025648862941066244,0.19568054286031947,-0.0645838326036332,GSM8576306_EM2_v1,EM,v1
Committed_like_AML_score,-0.00040453607714304737,0.11590075269796796,-0.01531838575998942,GSM8576306_EM2_v1,EM,v1
Immune_suppression_score,0.0009179061732880055,0.0739658242113508,0.0,GSM8576306_EM2_v1,EM,v1
