file,gsm,timepoint,kind
GSM7512014_Sample12D_barcodes.tsv.gz,GSM7512014,,barcodes.tsv
GSM7512014_Sample12D_features.tsv.gz,GSM7512014,,features.tsv
GSM7512014_Sample12D_matrix.mtx.gz,GSM7512014,,matrix.mtx
GSM7512015_Sample13D_barcodes.tsv.gz,GSM7512015,,barcodes.tsv
GSM7512015_Sample13D_features.tsv.gz,GSM7512015,,features.tsv
GSM7512015_Sample13D_matrix.mtx.gz,GSM7512015,,matrix.mtx
GSM7512016_Sample14D_barcodes.tsv.gz,GSM7512016,,barcodes.tsv
GSM7512016_Sample14D_features.tsv.gz,GSM7512016,,features.tsv
GSM7512016_Sample14D_matrix.mtx.gz,GSM7512016,,matrix.mtx
GSM7512017_Sample14E_barcodes.tsv.gz,GSM7512017,,barcodes.tsv
GSM7512017_Sample14E_features.tsv.gz,GSM7512017,,features.tsv
GSM7512017_Sample14E_matrix.mtx.gz,GSM7512017,,matrix.mtx
GSM7512018_Sample15E_barcodes.tsv.gz,GSM7512018,,barcodes.tsv
GSM7512018_Sample15E_features.tsv.gz,GSM7512018,,features.tsv
GSM7512018_Sample15E_matrix.mtx.gz,GSM7512018,,matrix.mtx
GSM7512019_Sample16D_barcodes.tsv.gz,GSM7512019,,barcodes.tsv
GSM7512019_Sample16D_features.tsv.gz,GSM7512019,,features.tsv
GSM7512019_Sample16D_matrix.mtx.gz,GSM7512019,,matrix.mtx
GSM7512020_Sample16E_barcodes.tsv.gz,GSM7512020,,barcodes.tsv
GSM7512020_Sample16E_features.tsv.gz,GSM7512020,,features.tsv
GSM7512020_Sample16E_matrix.mtx.gz,GSM7512020,,matrix.mtx
GSM7512021_Sample17D_barcodes.tsv.gz,GSM7512021,,barcodes.tsv
GSM7512021_Sample17D_features.tsv.gz,GSM7512021,,features.tsv
GSM7512021_Sample17D_matrix.mtx.gz,GSM7512021,,matrix.mtx
GSM7512022_Sample17E_barcodes.tsv.gz,GSM7512022,,barcodes.tsv
GSM7512022_Sample17E_features.tsv.gz,GSM7512022,,features.tsv
GSM7512022_Sample17E_matrix.mtx.gz,GSM7512022,,matrix.mtx
GSM7512023_Sample18Dx_barcodes.tsv.gz,GSM7512023,,barcodes.tsv
GSM7512023_Sample18Dx_features.tsv.gz,GSM7512023,,features.tsv
GSM7512023_Sample18Dx_matrix.mtx.gz,GSM7512023,,matrix.mtx
GSM7512024_Sample18E_barcodes.tsv.gz,GSM7512024,,barcodes.tsv
GSM7512024_Sample18E_features.tsv.gz,GSM7512024,,features.tsv
GSM7512024_Sample18E_matrix.mtx.gz,GSM7512024,,matrix.mtx
GSM7512025_Sample19D_barcodes.tsv.gz,GSM7512025,,barcodes.tsv
GSM7512025_Sample19D_features.tsv.gz,GSM7512025,,features.tsv
GSM7512025_Sample19D_matrix.mtx.gz,GSM7512025,,matrix.mtx
GSM7512026_Sample19E_barcodes.tsv.gz,GSM7512026,,barcodes.tsv
GSM7512026_Sample19E_features.tsv.gz,GSM7512026,,features.tsv
GSM7512026_Sample19E_matrix.mtx.gz,GSM7512026,,matrix.mtx
GSM7512027_Sample20D_barcodes.tsv.gz,GSM7512027,,barcodes.tsv
GSM7512027_Sample20D_features.tsv.gz,GSM7512027,,features.tsv
GSM7512027_Sample20D_matrix.mtx.gz,GSM7512027,,matrix.mtx
GSM7512028_Sample20E_barcodes.tsv.gz,GSM7512028,,barcodes.tsv
GSM7512028_Sample20E_features.tsv.gz,GSM7512028,,features.tsv
GSM7512028_Sample20E_matrix.mtx.gz,GSM7512028,,matrix.mtx
gse235923_file_inventory.csv,,,other
